SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,HouseAge
1040,3,2,Rural,2014,98933.439065306,12
2051,5,1,Suburb,1953,185052.5631740863,73
1134,4,3,Urban,2003,160764.43940877952,23
1200,5,3,Suburb,2014,156394.27348181067,12
2863,5,1,Suburb,2000,333464.1490294491,26
1779,5,1,Urban,1960,211994.3281859909,66
1929,4,1,Rural,1976,252779.69087222763,50
2056,2,1,Urban,1975,288750.4043072761,51
2071,4,3,Rural,1966,185482.0606316232,60
1502,2,3,Suburb,1991,119671.3689479028,35
1406,4,2,Suburb,1997,148891.4193350198,29
2597,2,1,Rural,1982,235810.22355681533,44
2751,2,2,Suburb,2010,357765.11724448414,16
1804,4,3,Rural,1978,216771.35995628755,48
1098,5,2,Rural,2012,102580.49836622812,14
1683,5,3,Urban,1986,208774.14233121456,40
2895,2,3,Suburb,2005,302454.6401474587,21
1725,3,2,Urban,1965,208558.78172335384,61
2570,3,2,Urban,2005,276434.5399454463,21
1960,4,1,Suburb,1991,220786.7119550845,35
2762,4,3,Urban,1973,354268.47524739604,53
1612,4,1,Suburb,2018,142420.97226095255,8
2966,3,1,Suburb,1980,299146.59537507093,46
2485,5,3,Urban,1960,321647.4526525699,66
1642,4,2,Suburb,1951,216976.90806023663,75
2792,4,1,Suburb,2020,243179.70337319985,6
2028,5,1,Suburb,1984,184210.7735555856,42
2241,2,3,Suburb,2011,175779.56815188617,15
1502,4,2,Urban,2003,162271.08640489963,23
1766,3,2,Rural,2018,240727.0397208556,8
1397,3,1,Urban,2000,186900.94639311853,26
1870,4,3,Rural,1958,208692.1497994106,68
1794,3,1,Rural,1963,114333.69387419586,63
1392,5,2,Rural,2005,225281.32417764852,21
1206,2,1,Suburb,1983,110852.45257182162,43
2038,2,3,Rural,1950,206119.18171087172,76
2881,4,1,Suburb,1987,292218.3734233528,39
2577,4,2,Suburb,1966,209166.2973385366,60
1891,2,3,Suburb,1965,283220.10867648444,61
2484,2,3,Urban,1997,354538.82144245284,29
2714,4,3,Rural,1999,290954.49181524914,27
2598,3,3,Urban,2020,207377.55545532453,6
1863,4,3,Suburb,1990,267934.0925699399,36
1742,5,1,Urban,1993,235034.89983819608,33
2264,4,3,Suburb,1964,246611.88309182983,62
1563,4,2,Urban,2010,314867.65157339314,16
2020,4,3,Suburb,1999,278092.75713699666,27
1095,4,2,Suburb,2001,88443.38397499491,25
2923,4,2,Urban,2001,235396.4544878884,25
2757,4,2,Suburb,1985,280503.8129283642,41
1484,3,2,Rural,1982,273072.3372618648,44
2430,4,2,Urban,1994,252666.84831969367,32
1230,2,1,Urban,1951,133914.40680878342,75
1748,4,2,Suburb,1950,142717.8302268369,76
2678,3,2,Urban,2019,266197.0443802551,7
2194,5,2,Rural,1996,245433.69445927496,30
1540,2,1,Urban,2013,177796.40298151918,13
2059,4,3,Rural,1967,226582.27427106167,59
1524,4,2,Urban,2003,170745.4653213651,23
2183,2,1,Rural,1984,194059.37069774355,42
2862,4,1,Urban,2008,347187.40927735553,18
2722,3,1,Rural,1985,345978.9788809702,41
2266,4,3,Suburb,1975,323981.5079872238,51
2109,5,1,Urban,1994,185909.90163690777,32
2819,3,2,Urban,2018,231642.41525201904,8
1577,4,2,Rural,1979,181472.0115124785,47
1681,5,2,Urban,1982,247683.3818141536,44
1556,2,3,Rural,1972,174119.77971258396,54
2597,3,1,Suburb,1970,249931.38186463085,56
2976,4,2,Rural,2012,352084.04725339817,14
2012,4,2,Urban,2019,356256.91027704417,7
1645,2,2,Suburb,2017,115738.60239613194,9
1795,2,3,Rural,1985,265399.2764300769,41
2051,3,2,Rural,1986,205543.4524987724,40
2643,3,1,Suburb,1950,248155.87168453963,76
2579,3,1,Urban,1975,318796.39679075696,51
2363,4,3,Urban,1991,254479.2559878204,35
2821,4,3,Urban,1989,248782.21694158544,37
2981,3,3,Suburb,2002,320922.1761831169,24
2354,4,1,Rural,2011,265274.0039736152,15
2663,2,3,Suburb,1993,283301.9362070697,33
2529,5,3,Rural,1985,291195.67134809634,41
2371,4,1,Suburb,1953,240277.00975870187,73
2496,3,2,Rural,1970,316708.5953854667,56
2254,4,3,Rural,1966,267724.6993464473,60
1189,2,2,Suburb,1965,52033.75929268488,61
2248,3,2,Suburb,1990,157260.98352993536,36
2408,5,2,Suburb,2004,349887.387165537,22
2400,3,2,Rural,2006,302581.5244158059,20
2306,3,3,Suburb,2015,267740.4346651604,11
2981,3,3,Rural,1987,296942.7544003423,39
1632,4,3,Rural,2005,211665.6221785599,21
1627,5,1,Suburb,1986,240462.67775685625,40
1972,2,1,Urban,1999,221900.7731087989,27
2768,4,2,Urban,2004,337510.5084427254,22
2282,5,1,Rural,1950,351438.5468115283,76
2382,5,2,Rural,2014,207718.7411877128,12
1709,4,2,Urban,2014,187379.39012427,12
2479,3,3,Rural,1993,325104.8263530242,33
2434,5,3,Urban,1961,234064.51365009736,65
1648,2,1,Rural,2002,168976.49535597963,24
1317,4,3,Rural,2010,72491.39025921248,16
2700,5,1,Suburb,1962,397825.33643637935,64
2248,2,3,Urban,1991,224680.0524200836,35
2842,2,3,Rural,1995,297609.7185248232,31
2257,2,1,Urban,1991,211357.5630745841,35
1683,2,2,Suburb,1965,191156.3841408472,61
1663,4,1,Urban,1993,198444.2855472129,33
2998,2,3,Rural,2019,227602.84522047613,7
2850,4,2,Urban,1965,227374.5843014784,61
2397,2,3,Suburb,1971,311492.246607957,55
2695,2,3,Urban,1984,341035.6518169741,42
2631,4,3,Urban,1998,329215.4127322002,28
2495,3,2,Urban,2020,189722.8949577994,6
2256,5,3,Urban,2013,315304.2483174342,13
2715,5,1,Rural,1980,229019.4794959325,46
2136,4,1,Urban,1950,218041.2170573715,76
2853,2,1,Suburb,1974,256367.864328076,52
2520,4,2,Urban,1969,427589.0870411169,57
1441,2,1,Suburb,1957,161116.81865195103,69
1563,4,3,Suburb,2013,182494.88596722667,13
2291,5,2,Suburb,1965,276165.905109651,61
2533,4,3,Suburb,2004,314516.6129790323,22
2830,5,3,Rural,1975,272012.265169515,51
2409,5,3,Urban,2014,342249.54232187086,12
2410,5,1,Urban,1977,258023.51102204097,49
2136,4,1,Rural,1995,115459.88197304336,31
2636,3,2,Urban,2003,240419.9739043436,23
2648,4,2,Rural,2003,388951.7892392383,23
1951,4,1,Suburb,2021,250119.2128528494,5
2104,3,1,Urban,1998,210586.97653456448,28
1698,3,3,Suburb,1995,234243.624414166,31
1112,5,1,Urban,1950,69293.96649206044,76
1001,2,3,Urban,1993,163837.68243703258,33
1641,2,1,Urban,1953,252127.9862511156,73
1219,5,3,Suburb,1980,117989.35682972187,46
2589,4,1,Rural,1964,313948.4453118486,62
1854,2,1,Suburb,1950,254919.27518581905,76
2759,4,2,Rural,2021,197521.82717092487,5
2248,3,2,Urban,1955,198494.040257516,71
1384,3,3,Urban,1976,152204.7558913935,50
2426,5,2,Urban,1975,308529.3077393932,51
2661,4,2,Urban,2015,308854.90099919715,11
2153,5,1,Suburb,1962,246860.55002366885,64
2076,2,3,Rural,2020,225867.2386279585,6
2707,2,2,Rural,1983,249678.2289009612,43
1729,2,2,Rural,1982,108636.47522678511,44
2695,4,1,Urban,1989,299818.56075223465,37
2733,5,1,Suburb,1992,290094.597001723,34
2439,5,1,Urban,1956,272077.872708492,70
1246,2,3,Rural,1988,130941.48294297824,38
1835,5,1,Suburb,2015,241849.2414576917,11
2462,3,3,Suburb,1985,206273.30005677108,41
1202,3,1,Urban,2013,155086.4598591631,13
2207,3,2,Suburb,1953,169742.87033019328,73
1122,3,3,Suburb,1971,148324.403196361,55
1400,5,1,Suburb,2020,184460.04344561708,6
1766,3,1,Urban,1953,138095.4799175649,73
1293,3,2,Urban,2013,205414.9104558009,13
1279,3,2,Suburb,1971,183265.3989623526,55
2860,3,2,Urban,2011,284616.467279546,15
1883,3,1,Suburb,1989,181947.6428840441,37
2633,4,2,Rural,1969,284003.76941338705,57
1197,4,2,Rural,1958,90959.78932620135,68
1981,3,3,Suburb,2014,198755.14636608923,12
2930,3,3,Rural,1972,370459.8290291032,54
2534,5,3,Rural,1984,348379.2664670972,42
1751,3,1,Rural,2008,270704.1541412828,18
1143,2,3,Suburb,1963,168931.8286047524,63
1608,4,1,Urban,1993,189126.05140688832,33
2224,3,2,Suburb,1971,218168.70814067312,55
2147,4,1,Suburb,1977,199220.1955072361,49
1186,3,1,Urban,2008,129960.0168172268,18
2349,2,2,Suburb,1996,281507.7449630544,30
1463,3,3,Suburb,2017,169378.78481722157,9
2372,4,3,Suburb,2019,248599.1076612193,7
2794,4,3,Rural,1966,411678.0284271322,60
1659,4,2,Suburb,1980,119032.8829834174,46
1763,5,1,Suburb,1963,230075.0498156624,63
1954,4,2,Urban,1998,122604.95616584706,28
2955,3,2,Rural,2016,296998.838109315,10
1402,2,2,Rural,1970,109470.14273140584,56
2369,2,2,Suburb,1962,246212.1973150715,64
2986,3,1,Rural,1999,310583.0758590737,27
2534,5,3,Rural,2017,233756.8863821809,9
1146,3,3,Urban,1961,100102.22524595106,65
2171,4,2,Urban,1997,199324.84069986545,29
1863,5,1,Rural,2013,331026.59636098804,13
2734,3,2,Urban,1964,231041.34837459872,62
2843,5,1,Suburb,1965,333530.0633743215,61
1488,2,2,Urban,2021,61092.661234490224,5
1928,3,3,Suburb,1999,205778.3124412656,27
2959,3,3,Urban,1990,384570.7364514372,36
2663,2,2,Rural,1953,339772.9527372086,73
1550,5,3,Suburb,1969,186745.12964093967,57
1337,2,2,Urban,1957,185559.0801900139,69
1871,5,1,Urban,2017,213894.31463154923,9
1640,3,1,Suburb,1996,180978.0156828019,30
2802,5,1,Urban,1982,243011.57473076603,44
2976,5,1,Rural,1954,265075.948204332,72
1472,4,2,Suburb,2017,163315.12699992972,9
2969,4,3,Rural,1990,384847.049904619,36
1150,4,1,Suburb,2010,190479.19894101736,16
2438,2,3,Suburb,1973,204129.2143255608,53
2321,2,2,Suburb,1976,249930.1176296619,50
2634,4,3,Suburb,1978,372750.474809396,48
1262,3,3,Rural,2016,189650.20106156013,10
2787,3,3,Rural,1986,308299.31208062085,40
1143,3,2,Suburb,2002,95784.07401708022,24
1345,2,2,Suburb,1951,165456.11841318812,75
1623,5,2,Rural,1986,236531.66553606672,40
2016,2,3,Suburb,2021,212190.754931357,5
2595,4,1,Suburb,2014,298280.3606844734,12
1880,5,1,Rural,1997,172765.2509259063,29
1001,3,3,Rural,1998,151917.35363762768,28
1896,2,1,Rural,1996,196497.06930440952,30
2327,2,1,Urban,1953,212603.1701695292,73
1253,4,3,Suburb,1952,205827.91372135773,74
2675,3,2,Rural,1985,350608.1323068653,41
1452,2,1,Suburb,1955,64055.91437875759,71
2060,2,2,Urban,1983,202645.46873652583,43
2183,5,1,Rural,2001,215636.3058238462,25
2014,2,3,Rural,1980,210336.9814886116,46
1008,5,3,Suburb,1983,161063.73607289075,43
2256,2,2,Suburb,1991,162732.68100454088,35
2122,3,2,Rural,1997,283190.3905839381,29
2682,4,2,Rural,2005,257018.5571445656,21
1815,3,2,Suburb,1967,161315.08881199546,59
1207,4,3,Suburb,1963,171344.51259950385,63
2154,2,3,Rural,2018,301758.3277786632,8
1403,3,3,Urban,2007,186512.3186615685,19
1151,5,2,Suburb,2019,147961.73986336417,7
1053,4,3,Suburb,2005,96856.0932254072,21
2143,4,3,Suburb,2002,241976.24174705177,24
2696,2,1,Rural,2018,256546.84581714933,8
2943,4,1,Rural,2009,245612.12503446644,17
1627,4,1,Rural,1981,192616.91072899688,45
1586,4,2,Suburb,1996,234537.6253437164,30
2648,2,2,Suburb,1971,266525.8016301305,55
2991,3,3,Urban,1953,411274.8172102008,73
2443,2,3,Rural,1974,241617.27376623056,52
2445,5,2,Rural,2010,230463.8153556288,16
1103,4,1,Suburb,1961,249885.94696430844,65
2875,4,3,Suburb,1980,320712.17394718895,46
1253,3,1,Urban,1950,131536.1635751427,76
2250,4,3,Suburb,2010,258681.64856947903,16
2135,3,1,Suburb,1955,236721.57971005852,71
1509,4,3,Suburb,1971,152417.95938444213,55
2496,4,1,Urban,1961,277449.0163566118,65
1098,2,1,Urban,1972,97639.64420350434,54
1152,2,2,Urban,1984,68864.72803706494,42
2884,5,3,Urban,1963,292602.0202390748,63
1913,3,1,Urban,1979,163126.63462798466,47
2919,5,2,Rural,1971,316117.1565885165,55
1877,2,3,Suburb,1965,173591.51575437415,61
1337,3,2,Urban,2020,245240.86934782268,6
2729,2,1,Urban,1964,299136.08095898724,62
1821,3,3,Urban,1951,102620.91177154332,75
2186,4,1,Urban,1971,174740.9101274219,55
2743,5,1,Suburb,2012,303839.76221234776,14
1956,5,2,Suburb,1964,255500.6502956529,62
2704,3,1,Rural,1968,305226.1480002337,58
1160,5,3,Suburb,1970,174048.9195625192,56
2603,2,2,Urban,1976,240369.9407103269,50
1800,5,1,Urban,1968,310732.5930169608,58
1397,3,1,Urban,1975,125680.08165265153,51
2300,5,1,Urban,1998,303253.7531069421,28
1815,5,2,Suburb,2007,137931.9765937645,19
2939,2,3,Suburb,2016,238181.44457414243,10
2527,4,2,Rural,1974,299144.4834011201,52
2919,2,1,Suburb,1971,340122.3586828582,55
2415,5,2,Urban,1963,230193.1787231853,63
2158,5,1,Urban,1958,300494.89658879273,68
2218,4,2,Suburb,1971,267560.2687840433,55
1400,4,1,Rural,1964,173748.30901295756,62
1639,2,2,Rural,1989,198112.8732028993,37
2056,4,1,Suburb,2014,237224.42820565245,12
1687,2,1,Suburb,2002,130383.649751031,24
1459,3,2,Suburb,1980,248587.29005790915,46
1954,5,2,Urban,1959,268826.7410314462,67
2906,4,1,Suburb,1983,307426.13760987023,43
1469,3,3,Suburb,1986,224293.97218700784,40
2398,3,1,Rural,1962,335992.3788479656,64
2045,2,1,Rural,1987,265649.0843029641,39
1749,2,3,Urban,1994,218960.6472310992,32
2693,4,1,Rural,1959,257512.558546102,67
1037,2,2,Rural,1971,86619.3046619419,55
1229,3,2,Suburb,2010,48780.11212797354,16
2388,3,3,Rural,1987,274896.26156200573,39
1562,5,1,Rural,2007,181237.83172594447,19
1437,3,2,Rural,1975,49052.37096077934,51
2799,4,1,Rural,1998,182649.2382746536,28
2306,5,3,Rural,2011,347942.00526169845,15
1026,2,2,Rural,1958,31998.01567703142,68
1225,5,3,Rural,2009,181103.2634891242,17
2300,3,1,Rural,1979,172216.0833107921,47
1797,4,1,Urban,1970,273262.8516738026,56
2632,2,1,Suburb,1999,306987.05161477905,27
1283,2,3,Rural,1978,172933.77203910236,48
1878,3,2,Suburb,1989,159685.44672150235,37
1959,4,3,Rural,1966,244916.4657968306,60
2504,3,2,Urban,2017,250927.64164111167,9
1452,3,1,Rural,2013,86276.33242040729,13
2019,4,1,Urban,1972,209029.94857251868,54
2852,3,3,Rural,1956,267060.0307693574,70
1815,4,2,Rural,1983,158867.81990114367,43
1658,4,1,Suburb,1973,200254.7187053508,53
2539,3,1,Rural,1956,197039.39492254207,70
1546,3,3,Rural,1957,251427.1553830112,69
2215,5,3,Urban,1952,298798.8574661124,74
2072,2,2,Suburb,1953,209615.3837860778,73
2535,2,1,Rural,2012,343628.22962201404,14
1016,4,2,Suburb,2015,86742.69815572829,11
2195,5,2,Suburb,2018,260504.83069560924,8
2243,4,2,Rural,1959,267664.3312110141,67
1157,5,3,Rural,2012,87137.890454451,14
1476,4,2,Rural,1986,217625.4427144939,40
2069,2,2,Rural,2021,179619.68105889083,5
2396,5,2,Rural,1952,304272.5427676434,74
1517,3,3,Suburb,1978,180446.9392014465,48
1098,3,3,Urban,2011,96810.15543797814,15
2915,2,1,Suburb,1982,293526.34787643905,44
2768,5,3,Rural,2009,333027.9076426232,17
2060,3,3,Suburb,1991,261561.33142323635,35
1279,3,2,Urban,2011,60826.5300881568,15
2372,3,1,Suburb,1955,278442.1634559852,71
1496,2,3,Rural,1998,123828.10360692852,28
1301,4,1,Rural,2021,88586.0572983957,5
1180,3,2,Rural,1992,134443.89746195945,34
1606,3,3,Urban,1958,136925.17083144034,68
2122,4,2,Rural,2000,234164.8909559664,26
1699,3,2,Rural,1963,150304.54943999165,63
1992,5,1,Rural,1973,240050.4959834057,53
2139,3,3,Rural,2021,277542.7034815458,5
1190,4,1,Suburb,1982,197241.25178700703,44
1252,2,2,Rural,1978,101805.59807931488,48
1980,2,3,Suburb,1951,197810.6222732038,75
1927,5,2,Urban,2001,172279.06490573462,25
2184,3,1,Suburb,1994,205236.28390756497,32
2279,3,1,Suburb,1987,206408.5332317392,39
2346,4,2,Suburb,1994,279439.98438546,32
1127,4,1,Suburb,1965,127174.72259461066,61
1017,5,1,Suburb,1996,127458.03900892238,30
2816,5,2,Suburb,1974,356063.8292210288,52
2758,3,3,Urban,2006,344787.61939305766,20
1565,3,3,Rural,1968,153282.85159103858,58
1569,5,3,Urban,1987,23125.99668198565,39
2346,2,2,Suburb,2015,297939.72321022314,11
2895,2,2,Suburb,1956,348536.6136271412,70
1685,2,1,Suburb,1969,145096.73485398138,57
2815,2,3,Urban,1953,316533.4621599929,73
1625,5,1,Suburb,1964,273166.5599546608,62
2311,4,2,Urban,2013,343467.41393072536,13
2966,2,3,Suburb,2006,258865.961319416,20
1853,5,2,Suburb,1999,197763.06532333908,27
2686,2,1,Urban,1966,196431.16181485064,60
1961,3,1,Urban,1965,192271.5714413316,61
2662,2,2,Urban,1952,252805.9846867436,74
1154,5,2,Urban,1994,20075.48609393928,32
1489,3,3,Suburb,1993,225167.54229185847,33
2409,3,2,Suburb,2011,333108.7015124155,15
1784,2,1,Rural,1958,253462.8412249309,68
2127,2,1,Suburb,2009,273921.24430261354,17
2952,3,2,Suburb,2006,230500.45057300347,20
2416,4,2,Suburb,2010,361696.0810396887,16
2834,5,3,Suburb,2013,319789.84660978575,13
1245,5,1,Suburb,1966,174765.256712796,60
2199,5,1,Rural,2007,300718.816645502,19
2062,5,1,Urban,1996,261326.85093700883,30
2500,5,2,Suburb,2001,363561.9094447919,25
2705,3,1,Suburb,1967,251734.5890102333,59
1758,5,2,Urban,1986,280965.8950193331,40
1537,4,3,Urban,2019,110904.32560798927,7
2890,4,2,Rural,1966,335743.30890850566,60
2841,2,3,Rural,1952,276296.33685332374,74
1920,2,3,Rural,1982,222212.13213889327,44
1407,2,2,Urban,1956,221697.81574055224,70
1524,2,3,Suburb,1951,223582.38488034377,75
1827,3,2,Urban,1983,206212.79258609767,43
2529,4,1,Suburb,1953,214945.59477018565,73
1902,3,2,Urban,1998,152143.29657619866,28
2848,4,3,Urban,1966,376480.3015198191,60
1035,3,3,Urban,2020,135298.4456835019,6
1684,4,1,Urban,1961,160232.42030870466,65
1019,2,2,Suburb,1993,70855.37071563367,33
1320,4,1,Suburb,1998,183736.7270283909,28
2799,2,3,Suburb,2018,388318.721111638,8
1511,4,2,Suburb,1966,165073.71563418454,60
1399,3,3,Rural,1987,213210.0434161304,39
1653,5,2,Rural,2005,140382.87226040527,21
1971,4,1,Urban,2010,260495.08469184453,16
2906,3,1,Suburb,1981,385304.7144909709,45
1470,5,3,Suburb,2005,144254.79594351217,21
2166,3,1,Urban,1972,277469.1074047808,54
2115,5,1,Urban,2015,252361.13148515,11
2377,2,3,Urban,2016,256202.9962478454,10
1833,4,3,Suburb,1954,139343.72748855263,72
2823,3,3,Suburb,1972,246154.6872755705,54
1726,4,2,Suburb,2000,218372.93023353268,26
2982,2,3,Rural,1974,309839.69209195976,52
1853,2,2,Urban,1973,219293.0105853752,53
1050,4,3,Suburb,1979,203482.1889124172,47
2688,3,2,Urban,2000,220036.0304825068,26
2721,3,3,Rural,1979,365466.45278472325,47
1574,3,2,Urban,2021,125013.14514330492,5
2213,4,1,Suburb,1995,234126.8056694056,31
2148,3,3,Urban,2006,213331.2022846543,20
1149,3,3,Suburb,1978,91677.1743135704,48
1313,5,2,Rural,2011,262434.5217293376,15
1569,3,1,Rural,1978,184359.5380741188,48
2365,2,1,Suburb,1986,323820.0405682337,40
1304,3,2,Rural,1989,97808.59675103222,37
2715,4,3,Urban,2004,298075.9523945043,22
1681,4,1,Rural,1975,128702.11481480266,51
1837,3,3,Rural,1976,129730.19741095706,50
2806,4,2,Rural,2000,326637.4753191202,26
2077,4,3,Rural,1971,241442.143756707,55
